name,address
Crystal Cove State Park,"8471 N Coast Hwy, Laguna Beach, CA 92651"
Balboa Pier,"1 Balboa Pier, Newport Beach, CA 92661"
The Irvine Museum Collection,"18881 Von Karman Ave #100, Irvine, CA 92612"
Orange Country Great Park,"6950 Marine Way, Irvine, CA 92618"
Orange Country Zoo,"1 Irvine Park Rd, Orange, CA 92869"
